Year,Time,Bib,Name,Country,Gender,Club
2015,67:52,X050,Ludo VAN HUMBEECK,BE,,LIERSE BCR
2015,67:53,L252,Christian LEBON,FR,,Amicale Saint-Joseph Le Portel
2015,67:53,X184,Jan WELLER,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,67:55,Z079,Pierre-Marie GLOTZ,FR,,INDIVIDUEL
2015,67:55,Z161,Éric JACQUES,FR,,Sports Loisirs Metz S.L.M
2015,67:55,P140,Evgeny PICHKALEV,RU,,VELO CLUB VELOPERM (PERM)
2015,67:55,X094,Horst SCHWANKE,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,67:56,D070,Andrew BAKER,GB,,SWANSEA & W WALES CTC
2015,67:56,C002,Tomas VITVAR,CZ,,AUDAX RANDONNEURS AUSTRIA
2015,68:00,X024,Walter BINDER,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,68:00,X059,Michael PILDER,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,68:00,Z054,Eric WILLIAMS,US,,DC RANDONNEURS
2015,68:01,C076,Carsten BUTTERON,DE,,AUDAX RAND. ALLEMAGNE
2015,68:01,K076,Marc SUÑÉ SIMON,ES,,BICI GRANDIA
2015,68:02,C134,Rolland COLLIN,FR,,Ass. Cyclos Julianais
2015,68:03,D206,Jean-Pierre CHARDON,FR,,Cyclotourisme de Maurepas
2015,68:03,D235,Patrick DEHAENE,FR,,Club Cyclo de Marquise
2015,68:03,D148,Didier LE DEVÉDEC,FR,,Cyclotourisme de Maurepas
2015,68:03,Y145,Daniel LEPPIN,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,68:03,Y039,Jean Michel TIMMERMANS,NL,,EURAUDAX RAND.NED. OSSENDRECHT
2015,68:04,D007,Martin KNOBLOCH,DE,,AUDAX RANDONNEURS AUSTRIA
2015,68:05,B092,Hiroshi IZUMI,JP,,AUDAX RANDONNEURS SAITAMA
2015,68:05,D030,Samuel WYSS,CH,,VC ORBE
2015,68:07,R304,Thierry CHAUDEUR,FR,,Cyclo Club de la Mandallaz - Sillingy
2015,68:08,E219,Gwenaël HÉMON,FR,,Cyclo Rand. Cornouaille - Quimper
2015,68:08,A164,Daniel ORTILLON,FR,,UC Percheronne - Mortagne au Perche
2015,68:08,C254,Clinton Jean SUMNER,ZA,,INDIVIDUEL
2015,68:09,C176,François COM,FR,,Club Cyclo du Poher - Carhaix
2015,68:09,Z080,Daniël Maurice Léon DE NIJS,BE,,LIERSE BCR
2015,68:09,C222,Yvon LE CALVEZ,FR,,Club Cyclo du Poher - Carhaix
2015,68:09,Y199,Thierry MORLET,FR,,Vélo Club Val d'Europe Wasteels
2015,68:09,Z015,Jan RIGOLLE,BE,,THE IDEAL CYCLING TEAM
2015,68:10,E236,Philippe GUILLOT,FR,,AS Bourse
